property_id,suburb,address,property_type,bedrooms,bathrooms,parking,land_size_sqm,building_size_sqm,sold_price,sold_date,sale_method,agency,distance_to_station_km,description,source_site,listing_url,date_collected,notes
C027,Chatswood,24/1-3 Eddy Road,Apartment,1,1,1,,,719000,22/06/2026,Private treaty,Ray White AY Realty Chatswood,,Nestled within a well-maintained security complex in one of Chatswood's most convenient…,domain.com.au,https://www.domain.com.au/24-1-3-eddy-road-chatswood-nsw-2067-2020960295,25/09/2026,Floor area 2219 m2 removed - impossible for an apartment (likely whole-building or data-entry error).
C028,Chatswood,1010/37 Victor Street,Apartment,1,1,1,,82,835000,22/06/2026,Private treaty,DiJones - Chatswood,,"Perfectly positioned within the sought-after ""The Sebel"" residence, this spacious north-facing one-bedroom…",domain.com.au,https://www.domain.com.au/1010-37-victor-street-chatswood-nsw-2067-2020902360,25/09/2026,
C029,Chatswood,909/2B Help Street,Apartment,1,1,1,,74,800000,19/06/2026,Private treaty,DiJones - Chatswood,,"Seize the opportunity to make this retreat your own, where modern style…",domain.com.au,https://www.domain.com.au/909-2b-help-street-chatswood-nsw-2067-2020767524,25/09/2026,
C030,Chatswood,4/892-900 Pacific Highway,Apartment,2,1,1,,,920000,17/06/2026,Private treaty,Ray White AY Realty Chatswood,,From its renovated interiors to its expansive design and unmatched convenience on…,domain.com.au,https://www.domain.com.au/4-892-900-pacific-highway-chatswood-nsw-2067-2020904294,25/09/2026,Floor area 1622 m2 removed - impossible for an apartment (likely whole-building or data-entry error).
B012,Bondi,6409/32 Wellington Street,Apartment,2,2,1,,,2005000,24/02/2026,Private treaty,McGrath Double Bay,,"Exhibiting a brilliance in premium design and craft, this serene apartment offers…",domain.com.au,https://www.domain.com.au/6409-32-wellington-street-bondi-nsw-2026-2020421466,25/09/2026,
B013,Bondi,2 Denham Street,House,4,3,3,283.7,,6308000,16/02/2026,,McGrath Double Bay,,"Perfectly poised between Bondi and Tamarama Beaches, this remarkable new home exhibits…",domain.com.au,https://www.domain.com.au/2-denham-street-bondi-nsw-2026-2020549529,25/09/2026,
B014,Bondi,23 Ocean Street North,House,3,2,,,,2500000,25/08/2025,,McGrath Double Bay,,"Imbued with character and radiating with natural light, this freestanding home elevates…",domain.com.au,https://www.domain.com.au/23-ocean-street-north-bondi-nsw-2026-2019805350,25/09/2026,House - land size not recorded on listing.
B015,Bondi,1 Miller Street,House,5,4,3,307,,5400000,12/08/2026,,Pillinger,,Magnificent beachside family home with designated yoga room offered for only the…,domain.com.au,https://www.domain.com.au/1-miller-street-bondi-nsw-2026-2021021796,25/09/2026,
B016,Bondi,38 Philip Street,House,3,2,,,,4260000,02/06/2026,Auction,Raine & Horne Double Bay,,"A striking coastal creation by renowned architect Tim Greer, this unique beachside…",domain.com.au,https://www.domain.com.au/38-philip-street-bondi-nsw-2026-2020814305,25/09/2026,House - land size not recorded on listing.
B017,Bondi,14 Anglesea Street,House,6,4,1,415,,5416000,19/05/2026,Auction,Raine & Horne Double Bay,,"Demonstrating an outstanding sense of tranquillity and relaxation, this stunning family home…",domain.com.au,https://www.domain.com.au/14-anglesea-street-bondi-nsw-2026-2020787322,25/09/2026,
B018,Bondi,76 Edward Street,House,3,2,1,,,4050000,14/05/2026,Auction,Ray White Double Bay,,"Capturing a breathtaking district panorama cascading to the ocean, this stunning north-facing…",domain.com.au,https://www.domain.com.au/76-edward-street-bondi-nsw-2026-2020771966,25/09/2026,House - land size not recorded on listing.
B019,Bondi,68 Anglesea Street,House,3,1,,291,,3260000,06/05/2026,Private treaty,PPD Real Estate,,"A contemporary take on Scandinavian design brings a sense of calm, warmth…",domain.com.au,https://www.domain.com.au/68-anglesea-street-bondi-nsw-2026-2020679809,25/09/2026,
B020,Bondi,5/9-11 Ocean Street North,Apartment,2,1,1,,,1445000,26/05/2026,Auction,LJ Hooker Bondi Beach,,"Sunlit interiors, an oversized layout and a wraparound balcony come together to…",domain.com.au,https://www.domain.com.au/5-9-11-ocean-street-north-bondi-nsw-2026-2020801473,25/09/2026,
B021,Bondi,3/10-12 Fletcher Street,Apartment,2,1,1,,,2000000,02/06/2026,Private treaty,Biller Property,,"Positioned in an elevated setting with sparkling ocean views, this apartment delivers…",domain.com.au,https://www.domain.com.au/3-10-12-fletcher-street-bondi-nsw-2026-2020842516,25/09/2026,
B022,Bondi,17/22-28 Wellington Street,Apartment,2,1,1,,,1520000,26/05/2026,,LJ Hooker Bondi Junction,,"Sun-soaked and superb, relaxed and convenient Bondi living is presented on a…",domain.com.au,https://www.domain.com.au/17-22-28-wellington-street-bondi-nsw-2026-2020767269,25/09/2026,
B023,Bondi,15/240-242 Bondi Road,Apartment,2,1,1,,,1450000,22/05/2026,Private treaty,LJ Hooker Bondi Beach,,Capturing expansive ocean and district views from its elevated fifth floor position…,domain.com.au,https://www.domain.com.au/15-240-242-bondi-road-bondi-nsw-2026-2020873708,25/09/2026,
